NAME,GEO_ID,B03002_012E,B03002_013E,B03002_014E,B03002_015E,B03002_016E,B03002_017E,B03002_018E,B03002_019E,B03002_020E,B03002_021E,state,county,tract,block group
"Block Group 3, Census Tract 4901.01, Fairfax County, Virginia",510594901013,239,87,0,0,0,0,57,95,95,0,51,59,490101,3
"Block Group 1, Census Tract 4901.05, Fairfax County, Virginia",510594901051,240,101,19,0,0,0,51,69,69,0,51,59,490105,1
"Block Group 1, Census Tract 4905.01, Fairfax County, Virginia",510594905011,185,67,0,0,0,0,118,0,0,0,51,59,490501,1
"Block Group 4, Census Tract 4912.01, Fairfax County, Virginia",510594912014,17,0,0,0,0,0,17,0,0,0,51,59,491201,4
"Block Group 2, Census Tract 4913.01, Fairfax County, Virginia",510594913012,452,136,0,0,0,0,100,216,100,116,51,59,491301,2
"Block Group 1, Census Tract 4913.02, Fairfax County, Virginia",510594913021,153,90,0,0,0,0,63,0,0,0,51,59,491302,1
"Block Group 2, Census Tract 4913.03, Fairfax County, Virginia",510594913032,857,600,128,0,0,0,129,0,0,0,51,59,491303,2
"Block Group 3, Census Tract 4914.01, Fairfax County, Virginia",510594914013,53,0,0,0,0,0,39,14,14,0,51,59,491401,3
"Block Group 2, Census Tract 4914.02, Fairfax County, Virginia",510594914022,342,251,0,0,0,0,84,7,7,0,51,59,491402,2
"Block Group 1, Census Tract 4914.04, Fairfax County, Virginia",510594914041,72,46,0,0,0,0,26,0,0,0,51,59,491404,1
"Block Group 1, Census Tract 4914.05, Fairfax County, Virginia",510594914051,89,63,5,0,0,0,0,21,3,18,51,59,491405,1
"Block Group 3, Census Tract 4915.01, Fairfax County, Virginia",510594915013,40,40,0,0,0,0,0,0,0,0,51,59,491501,3
"Block Group 3, Census Tract 4915.02, Fairfax County, Virginia",510594915023,141,29,0,0,0,0,0,112,112,0,51,59,491502,3
"Block Group 1, Census Tract 503.01, Wythe County, Virginia",511970503011,0,0,0,0,0,0,0,0,0,0,51,197,50301,1
"Block Group 4, Census Tract 503.01, Wythe County, Virginia",511970503014,1,0,0,0,0,0,0,1,1,0,51,197,50301,4
"Block Group 1, Census Tract 503.02, Wythe County, Virginia",511970503021,15,15,0,0,0,0,0,0,0,0,51,197,50302,1
"Block Group 2, Census Tract 504.01, Wythe County, Virginia",511970504012,0,0,0,0,0,0,0,0,0,0,51,197,50401,2
"Block Group 2, Census Tract 504.02, Wythe County, Virginia",511970504022,0,0,0,0,0,0,0,0,0,0,51,197,50402,2
"Block Group 1, Census Tract 502.03, York County, Virginia",511990502031,139,86,0,0,0,28,0,25,9,16,51,199,50203,1
"Block Group 1, Census Tract 502.05, York County, Virginia",511990502051,7,0,0,0,0,0,0,7,7,0,51,199,50205,1
"Block Group 1, Census Tract 502.06, York County, Virginia",511990502061,180,74,0,0,53,0,53,0,0,0,51,199,50206,1
"Block Group 4, Census Tract 502.06, York County, Virginia",511990502064,0,0,0,0,0,0,0,0,0,0,51,199,50206,4
"Block Group 3, Census Tract 502.07, York County, Virginia",511990502073,365,342,0,0,7,0,16,0,0,0,51,199,50207,3
"Block Group 1, Census Tract 503.03, York County, Virginia",511990503031,208,164,0,0,0,0,0,44,44,0,51,199,50303,1
"Block Group 1, Census Tract 503.04, York County, Virginia",511990503041,58,58,0,0,0,0,0,0,0,0,51,199,50304,1
"Block Group 3, Census Tract 503.04, York County, Virginia",511990503043,135,32,0,0,0,0,33,70,70,0,51,199,50304,3
"Block Group 2, Census Tract 503.06, York County, Virginia",511990503062,0,0,0,0,0,0,0,0,0,0,51,199,50306,2
"Block Group 2, Census Tract 504.01, York County, Virginia",511990504012,38,36,0,0,0,0,0,2,2,0,51,199,50401,2
"Block Group 3, Census Tract 504.02, York County, Virginia",511990504023,81,58,0,0,0,0,23,0,0,0,51,199,50402,3
"Block Group 2, Census Tract 2001.04, Alexandria city, Virginia",515102001042,301,218,0,0,0,0,83,0,0,0,51,510,200104,2
"Block Group 2, Census Tract 2001.05, Alexandria city, Virginia",515102001052,244,36,0,0,0,0,86,122,122,0,51,510,200105,2
"Block Group 3, Census Tract 2001.06, Alexandria city, Virginia",515102001063,149,149,0,0,0,0,0,0,0,0,51,510,200106,3
"Block Group 1, Census Tract 2001.09, Alexandria city, Virginia",515102001091,127,21,0,0,0,0,25,81,55,26,51,510,200109,1
"Block Group 1, Census Tract 2001.10, Alexandria city, Virginia",515102001101,181,105,0,0,0,0,0,76,61,15,51,510,200110,1
"Block Group 2, Census Tract 2001.11, Alexandria city, Virginia",515102001112,469,140,0,0,0,0,108,221,153,68,51,510,200111,2
"Block Group 2, Census Tract 2002.01, Alexandria city, Virginia",515102002012,58,19,2,11,0,0,0,26,26,0,51,510,200201,2
"Block Group 2, Census Tract 2002.02, Alexandria city, Virginia",515102002022,45,45,0,0,0,0,0,0,0,0,51,510,200202,2
"Block Group 1, Census Tract 2003.02, Alexandria city, Virginia",515102003021,764,108,18,0,0,0,545,93,69,24,51,510,200302,1
"Block Group 1, Census Tract 2003.04, Alexandria city, Virginia",515102003041,89,64,0,0,0,0,25,0,0,0,51,510,200304,1
"Block Group 1, Census Tract 2003.05, Alexandria city, Virginia",515102003051,247,0,0,0,0,0,246,1,0,1,51,510,200305,1
"Block Group 1, Census Tract 2004.04, Alexandria city, Virginia",515102004041,152,122,0,0,0,0,30,0,0,0,51,510,200404,1
"Block Group 2, Census Tract 2004.06, Alexandria city, Virginia",515102004062,451,358,0,0,0,0,82,11,0,11,51,510,200406,2
"Block Group 1, Census Tract 2004.07, Alexandria city, Virginia",515102004071,89,12,0,0,0,0,25,52,52,0,51,510,200407,1
"Block Group 1, Census Tract 2004.08, Alexandria city, Virginia",515102004081,537,254,39,0,0,0,244,0,0,0,51,510,200408,1
"Block Group 2, Census Tract 2007.03, Alexandria city, Virginia",515102007032,262,84,0,0,0,0,0,178,0,178,51,510,200703,2
"Block Group 1, Census Tract 2007.04, Alexandria city, Virginia",515102007041,123,44,0,0,0,0,79,0,0,0,51,510,200704,1
"Block Group 1, Census Tract 2007.05, Alexandria city, Virginia",515102007051,1,1,0,0,0,0,0,0,0,0,51,510,200705,1
"Block Group 1, Census Tract 2008.01, Alexandria city, Virginia",515102008011,687,49,0,0,0,0,315,323,323,0,51,510,200801,1
"Block Group 2, Census Tract 2008.02, Alexandria city, Virginia",515102008022,193,193,0,0,0,0,0,0,0,0,51,510,200802,2
"Block Group 2, Census Tract 2009, Alexandria city, Virginia",515102009002,144,31,0,0,0,0,0,113,113,0,51,510,200900,2
"Block Group 1, Census Tract 2010, Alexandria city, Virginia",515102010001,98,83,8,0,0,0,0,7,0,7,51,510,201000,1
"Block Group 1, Census Tract 2011, Alexandria city, Virginia",515102011001,247,51,6,0,0,0,174,16,0,16,51,510,201100,1
"Block Group 1, Census Tract 2012.02, Alexandria city, Virginia",515102012021,14,0,0,9,0,0,5,0,0,0,51,510,201202,1
"Block Group 4, Census Tract 2012.02, Alexandria city, Virginia",515102012024,210,177,0,0,0,0,0,33,12,21,51,510,201202,4
"Block Group 3, Census Tract 4916.01, Fairfax County, Virginia",510594916013,32,32,0,0,0,0,0,0,0,0,51,59,491601,3
"Block Group 1, Census Tract 4917.01, Fairfax County, Virginia",510594917011,45,0,0,0,0,0,0,45,45,0,51,59,491701,1
"Block Group 1, Census Tract 4917.03, Fairfax County, Virginia",510594917031,166,154,12,0,0,0,0,0,0,0,51,59,491703,1
"Block Group 1, Census Tract 4917.04, Fairfax County, Virginia",510594917041,142,108,0,0,0,0,0,34,34,0,51,59,491704,1
"Block Group 1, Census Tract 4917.05, Fairfax County, Virginia",510594917051,100,83,0,0,0,0,17,0,0,0,51,59,491705,1
"Block Group 2, Census Tract 4921, Fairfax County, Virginia",510594921002,70,70,0,0,0,0,0,0,0,0,51,59,492100,2
"Block Group 1, Census Tract 4922.01, Fairfax County, Virginia",510594922011,146,128,0,0,0,0,0,18,0,18,51,59,492201,1
"Block Group 2, Census Tract 4922.02, Fairfax County, Virginia",510594922022,108,108,0,0,0,0,0,0,0,0,51,59,492202,2
"Block Group 2, Census Tract 4922.03, Fairfax County, Virginia",510594922032,78,72,0,0,0,0,6,0,0,0,51,59,492203,2
"Block Group 2, Census Tract 4923, Fairfax County, Virginia",510594923002,147,120,0,0,0,0,0,27,27,0,51,59,492300,2
"Block Group 1, Census Tract 4925, Fairfax County, Virginia",510594925001,64,64,0,0,0,0,0,0,0,0,51,59,492500,1
"Block Group 1, Census Tract 9802, Fairfax County, Virginia",510599802001,0,0,0,0,0,0,0,0,0,0,51,59,980200,1
"Block Group 2, Census Tract 9301.01, Fauquier County, Virginia",510619301012,806,573,0,0,0,0,62,171,115,56,51,61,930101,2
"Block Group 1, Census Tract 9302.03, Fauquier County, Virginia",510619302031,26,26,0,0,0,0,0,0,0,0,51,61,930203,1
"Block Group 2, Census Tract 9302.04, Fauquier County, Virginia",510619302042,229,229,0,0,0,0,0,0,0,0,51,61,930204,2
"Block Group 1, Census Tract 9302.06, Fauquier County, Virginia",510619302061,73,58,0,0,0,0,6,9,0,9,51,61,930206,1
"Block Group 1, Census Tract 9303.03, Fauquier County, Virginia",510619303031,30,13,0,0,0,0,0,17,0,17,51,61,930303,1
"Block Group 1, Census Tract 9303.04, Fauquier County, Virginia",510619303041,33,33,0,0,0,0,0,0,0,0,51,61,930304,1
"Block Group 3, Census Tract 9303.05, Fauquier County, Virginia",510619303053,101,58,0,0,0,0,0,43,43,0,51,61,930305,3
"Block Group 2, Census Tract 9304.01, Fauquier County, Virginia",510619304012,52,40,0,0,0,0,12,0,0,0,51,61,930401,2
"Block Group 2, Census Tract 9307.06, Fauquier County, Virginia",510619307062,508,446,0,0,0,0,14,48,32,16,51,61,930706,2
"Block Group 2, Census Tract 9307.07, Fauquier County, Virginia",510619307072,11,11,0,0,0,0,0,0,0,0,51,61,930707,2
"Block Group 3, Census Tract 9201.02, Floyd County, Virginia",510639201023,108,84,0,0,0,0,24,0,0,0,51,63,920102,3
"Block Group 3, Census Tract 9201.03, Floyd County, Virginia",510639201033,0,0,0,0,0,0,0,0,0,0,51,63,920103,3
"Block Group 1, Census Tract 9202.01, Floyd County, Virginia",510639202011,0,0,0,0,0,0,0,0,0,0,51,63,920201,1
"Block Group 2, Census Tract 9202.02, Floyd County, Virginia",510639202022,64,0,0,0,0,0,64,0,0,0,51,63,920202,2
"Block Group 3, Census Tract 201.01, Fluvanna County, Virginia",510650201013,10,10,0,0,0,0,0,0,0,0,51,65,20101,3
"Block Group 2, Census Tract 201.03, Fluvanna County, Virginia",510650201032,21,0,0,0,0,0,21,0,0,0,51,65,20103,2
"Block Group 3, Census Tract 201.04, Fluvanna County, Virginia",510650201043,103,20,0,0,0,0,83,0,0,0,51,65,20104,3
"Block Group 3, Census Tract 202, Fluvanna County, Virginia",510650202003,104,104,0,0,0,0,0,0,0,0,51,65,20200,3
"Block Group 2, Census Tract 203, Fluvanna County, Virginia",510650203002,52,52,0,0,0,0,0,0,0,0,51,65,20300,2
"Block Group 2, Census Tract 201.02, Franklin County, Virginia",510670201022,122,0,0,0,0,0,0,122,0,122,51,67,20102,2
"Block Group 2, Census Tract 201.03, Franklin County, Virginia",510670201032,0,0,0,0,0,0,0,0,0,0,51,67,20103,2
"Block Group 3, Census Tract 201.04, Franklin County, Virginia",510670201043,0,0,0,0,0,0,0,0,0,0,51,67,20104,3
"Block Group 2, Census Tract 202, Franklin County, Virginia",510670202002,0,0,0,0,0,0,0,0,0,0,51,67,20200,2
"Block Group 2, Census Tract 206, Franklin County, Virginia",510670206002,0,0,0,0,0,0,0,0,0,0,51,67,20600,2
"Block Group 1, Census Tract 207.01, Franklin County, Virginia",510670207011,52,36,16,0,0,0,0,0,0,0,51,67,20701,1
"Block Group 2, Census Tract 207.02, Franklin County, Virginia",510670207022,0,0,0,0,0,0,0,0,0,0,51,67,20702,2
"Block Group 2, Census Tract 208.01, Franklin County, Virginia",510670208012,0,0,0,0,0,0,0,0,0,0,51,67,20801,2
"Block Group 2, Census Tract 208.02, Franklin County, Virginia",510670208022,115,36,7,0,0,0,0,72,0,72,51,67,20802,2
"Block Group 1, Census Tract 209.02, Franklin County, Virginia",510670209021,45,45,0,0,0,0,0,0,0,0,51,67,20902,1
"Block Group 1, Census Tract 2012.05, Alexandria city, Virginia",515102012051,84,28,0,0,0,0,56,0,0,0,51,510,201205,1
"Block Group 2, Census Tract 2012.06, Alexandria city, Virginia",515102012062,271,14,0,0,0,0,257,0,0,0,51,510,201206,2
"Block Group 2, Census Tract 2013, Alexandria city, Virginia",515102013002,75,0,0,0,0,0,0,75,75,0,51,510,201300,2
