NAME,GEO_ID,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county,tract,block group,Pop_65_Plus,Pop_75_Plus
"Block Group 4, Census Tract 4.02, Charlottesville city, Virginia",515400004024,476,36,16,0,0,0,0,0,0,0,19,89,57,98,83,0,0,28,0,0,38,0,12,0,562,0,16,42,0,8,0,13,17,16,39,100,35,25,67,0,119,21,17,0,15,0,12,0,51,540,402,4,94,24
"Block Group 1, Census Tract 5.01, Charlottesville city, Virginia",515400005011,711,48,67,53,0,0,0,0,39,179,55,37,46,36,60,56,0,24,11,0,0,0,0,0,1045,114,89,118,26,0,53,0,84,154,67,37,11,46,55,31,61,30,26,5,0,10,0,28,51,540,501,1,80,38
"Block Group 2, Census Tract 5.01, Charlottesville city, Virginia",515400005012,474,0,21,0,0,0,0,56,65,50,64,47,12,20,66,23,17,10,0,9,12,0,2,0,331,14,5,0,27,0,0,48,7,30,59,0,11,43,40,14,5,0,2,0,13,0,13,0,51,540,501,2,51,15
"Block Group 3, Census Tract 5.01, Charlottesville city, Virginia",515400005013,943,179,11,68,54,0,33,0,6,6,77,37,59,167,65,27,22,8,25,16,80,3,0,0,1073,158,40,27,0,0,0,22,59,76,103,155,0,29,19,147,0,62,0,25,31,75,0,45,51,540,501,3,300,123
"Block Group 1, Census Tract 5.02, Charlottesville city, Virginia",515400005021,770,24,22,146,20,0,0,0,0,36,24,29,109,67,55,93,0,17,0,0,50,40,38,0,1256,65,132,137,0,0,0,0,39,150,34,76,72,155,41,86,0,16,19,38,110,70,16,0,51,540,502,1,381,164
"Block Group 2, Census Tract 5.02, Charlottesville city, Virginia",515400005022,475,19,0,30,31,0,0,0,60,109,31,101,13,29,0,0,33,0,17,0,0,0,0,2,386,10,0,0,0,0,0,0,28,46,0,88,24,0,65,22,0,18,0,0,0,0,0,85,51,540,502,2,104,87
"Block Group 3, Census Tract 5.02, Charlottesville city, Virginia",515400005023,416,14,0,0,0,0,0,0,70,40,135,48,12,0,41,29,0,0,0,0,0,0,0,27,440,37,31,0,38,0,0,0,0,39,122,0,14,41,60,26,0,0,0,0,0,0,15,17,51,540,502,3,59,59
"Block Group 4, Census Tract 5.02, Charlottesville city, Virginia",515400005024,505,81,0,82,6,37,31,0,11,0,70,47,76,0,38,18,0,8,0,0,0,0,0,0,671,133,88,0,17,20,0,0,6,54,107,69,31,28,28,45,0,0,0,0,26,19,0,0,51,540,502,4,45,19
"Block Group 5, Census Tract 5.02, Charlottesville city, Virginia",515400005025,75,0,0,18,0,0,0,0,7,6,8,0,20,0,0,0,0,0,0,16,0,0,0,0,150,0,0,17,0,0,10,0,15,52,9,0,0,0,0,0,17,0,0,0,0,0,15,15,51,540,502,5,46,30
"Block Group 1, Census Tract 6, Charlottesville city, Virginia",515400006001,731,0,10,0,0,113,147,85,59,80,102,0,35,0,42,0,0,0,11,0,14,15,18,0,702,48,11,19,0,143,131,122,60,11,83,12,0,19,4,2,2,0,0,28,0,0,7,0,51,540,600,1,93,40
"Block Group 2, Census Tract 6, Charlottesville city, Virginia",515400006002,1153,61,0,0,0,137,113,263,330,53,44,20,0,0,11,17,0,0,40,41,0,11,12,0,697,0,0,0,0,149,180,78,61,94,126,0,0,0,0,0,0,0,0,0,4,5,0,0,51,540,600,2,113,28
"Block Group 1, Census Tract 7, Charlottesville city, Virginia",515400007001,543,29,62,20,23,0,0,0,8,11,17,44,37,29,35,13,31,18,30,97,24,11,0,4,471,34,60,23,0,0,0,7,10,17,50,42,33,76,23,27,4,19,0,9,25,6,0,6,51,540,700,1,212,27
"Block Group 2, Census Tract 7, Charlottesville city, Virginia",515400007002,724,73,41,16,31,56,74,36,97,45,3,40,19,32,60,15,0,0,8,7,48,0,0,23,902,1,3,48,32,68,131,128,57,21,69,27,18,25,39,96,9,32,10,11,38,6,12,21,51,540,700,2,184,62
"Block Group 4, Census Tract 7, Charlottesville city, Virginia",515400007004,335,0,0,20,8,27,43,26,13,3,2,9,8,49,11,31,0,43,0,0,9,11,11,11,607,7,15,4,16,98,124,14,32,24,0,10,23,38,12,38,12,20,83,21,0,7,4,5,51,540,700,4,162,49
"Block Group 1, Census Tract 8, Charlottesville city, Virginia",515400008001,394,16,17,31,42,4,0,0,0,4,0,26,7,20,63,58,18,15,9,19,23,11,11,0,427,14,24,14,6,7,0,0,4,22,0,20,43,52,38,15,9,34,0,46,44,18,5,12,51,540,800,1,198,57
"Block Group 3, Census Tract 8, Charlottesville city, Virginia",515400008003,258,0,8,0,0,3,0,0,0,13,13,36,6,22,10,43,0,22,10,39,9,24,0,0,293,0,15,7,0,0,5,0,0,5,36,27,0,28,7,39,9,8,11,33,45,6,12,0,51,540,800,3,189,42
"Block Group 4, Census Tract 8, Charlottesville city, Virginia",515400008004,532,8,0,19,25,0,5,0,7,53,14,23,104,23,43,114,13,16,10,0,29,0,26,0,784,64,41,18,21,0,0,34,0,117,77,44,22,107,6,91,29,0,0,14,24,9,9,57,51,540,800,4,178,101
"Block Group 2, Census Tract 9, Charlottesville city, Virginia",515400009002,369,14,0,0,0,14,0,7,0,19,41,88,40,8,4,21,0,10,54,20,13,0,16,0,472,25,28,24,12,14,0,0,5,46,48,16,47,78,35,7,13,18,17,14,7,0,18,0,51,540,900,2,159,34
"Block Group 1, Census Tract 10, Charlottesville city, Virginia",515400010001,592,36,0,0,0,0,0,0,26,158,42,20,34,11,0,0,6,14,6,38,149,23,13,16,393,0,0,0,0,0,0,0,20,63,67,16,24,0,10,0,0,0,9,0,76,5,49,54,51,540,1000,1,438,160
"Block Group 3, Census Tract 10, Charlottesville city, Virginia",515400010003,778,0,130,13,21,0,0,4,16,57,149,0,119,28,32,57,0,109,0,5,34,4,0,0,943,130,22,13,59,6,0,0,21,40,126,114,94,9,29,188,14,16,7,9,17,11,12,6,51,540,1000,3,105,33
"Block Group 1, Census Tract 200.01, Chesapeake city, Virginia",515500200011,810,52,5,49,10,0,0,24,5,51,95,33,41,61,75,74,16,39,68,12,25,25,27,23,671,53,51,42,0,0,7,15,17,73,21,8,42,9,131,26,31,21,12,21,43,14,13,21,51,550,20001,1,304,123
"Block Group 2, Census Tract 200.02, Chesapeake city, Virginia",515500200022,846,123,0,59,0,43,20,19,36,297,8,32,63,38,22,3,26,0,2,30,0,15,0,10,1077,63,26,60,5,30,0,0,201,291,138,64,29,13,64,38,3,0,14,0,18,20,0,0,51,550,20002,2,109,45
"Block Group 3, Census Tract 200.02, Chesapeake city, Virginia",515500200023,665,12,0,77,17,0,0,0,80,103,30,64,11,0,76,57,19,61,20,12,15,11,0,0,727,22,106,42,70,49,0,0,0,70,0,45,20,56,96,11,51,21,0,52,0,11,5,0,51,550,20002,3,126,27
"Block Group 2, Census Tract 200.03, Chesapeake city, Virginia",515500200032,786,88,83,44,30,0,0,0,0,24,91,0,82,12,14,46,0,36,13,0,191,0,32,0,881,21,114,0,0,0,0,0,0,25,66,55,135,11,14,58,0,38,0,237,90,0,0,17,51,550,20003,2,580,49
"Block Group 5, Census Tract 200.03, Chesapeake city, Virginia",515500200035,368,14,15,37,0,0,0,0,0,80,17,79,15,22,45,16,0,0,0,0,14,0,0,14,386,13,82,39,15,0,0,0,0,81,34,15,19,0,26,47,0,15,0,0,0,0,0,0,51,550,20003,5,28,14
