NAME,GEO_ID,C17002_002E,C17002_003E,C17002_004E,C17002_005E,C17002_006E,C17002_007E,C17002_008E,state,county,tract,block group
"Block Group 4, Census Tract 206, Montgomery County, Virginia",511210206004,75,0,0,0,0,0,1855,51,121,20600,4
"Block Group 1, Census Tract 207.02, Montgomery County, Virginia",511210207021,583,189,106,111,223,242,788,51,121,20702,1
"Block Group 1, Census Tract 208.01, Montgomery County, Virginia",511210208011,92,167,15,0,76,27,920,51,121,20801,1
"Block Group 1, Census Tract 208.02, Montgomery County, Virginia",511210208021,7,40,16,61,98,57,585,51,121,20802,1
"Block Group 2, Census Tract 209, Montgomery County, Virginia",511210209002,36,0,18,0,435,0,616,51,121,20900,2
"Block Group 2, Census Tract 210, Montgomery County, Virginia",511210210002,123,20,57,0,44,50,1044,51,121,21000,2
"Block Group 1, Census Tract 211.01, Montgomery County, Virginia",511210211011,58,4,0,0,248,0,1971,51,121,21101,1
"Block Group 2, Census Tract 211.02, Montgomery County, Virginia",511210211022,6,21,27,70,124,0,1493,51,121,21102,2
"Block Group 2, Census Tract 212.01, Montgomery County, Virginia",511210212012,11,16,46,0,261,74,1287,51,121,21201,2
"Block Group 1, Census Tract 213, Montgomery County, Virginia",511210213001,36,79,41,11,66,9,735,51,121,21300,1
"Block Group 1, Census Tract 214, Montgomery County, Virginia",511210214001,0,0,0,0,187,0,569,51,121,21400,1
"Block Group 1, Census Tract 9503, Nelson County, Virginia",511259503001,128,198,0,11,41,0,996,51,125,950300,1
"Block Group 4, Census Tract 9503, Nelson County, Virginia",511259503004,101,2,62,47,19,19,1171,51,125,950300,4
"Block Group 2, Census Tract 7001, New Kent County, Virginia",511277001002,0,51,15,30,73,0,3022,51,127,700100,2
"Block Group 2, Census Tract 7002, New Kent County, Virginia",511277002002,0,94,0,0,0,0,659,51,127,700200,2
"Block Group 1, Census Tract 7003.01, New Kent County, Virginia",511277003011,60,186,0,35,37,25,1586,51,127,700301,1
"Block Group 1, Census Tract 7003.02, New Kent County, Virginia",511277003021,42,193,43,0,0,0,1937,51,127,700302,1
"Block Group 2, Census Tract 9301, Northampton County, Virginia",511319301002,15,307,98,175,14,12,598,51,131,930100,2
"Block Group 1, Census Tract 9302, Northampton County, Virginia",511319302001,74,33,28,5,48,0,694,51,131,930200,1
"Block Group 4, Census Tract 9302, Northampton County, Virginia",511319302004,136,87,88,15,0,0,580,51,131,930200,4
"Block Group 3, Census Tract 9303.01, Northampton County, Virginia",511319303013,19,97,14,10,23,21,521,51,131,930301,3
"Block Group 0, Census Tract 9901, Northampton County, Virginia",511319901000,0,0,0,0,0,0,0,51,131,990100,0
"Block Group 3, Census Tract 201, Northumberland County, Virginia",511330201003,22,67,75,0,82,0,445,51,133,20100,3
"Block Group 2, Census Tract 202, Northumberland County, Virginia",511330202002,199,280,12,0,57,0,1009,51,133,20200,2
"Block Group 2, Census Tract 203.01, Northumberland County, Virginia",511330203012,0,0,0,0,78,0,660,51,133,20301,2
"Block Group 2, Census Tract 203.02, Northumberland County, Virginia",511330203022,59,22,0,15,90,0,1103,51,133,20302,2
"Block Group 7, Census Tract 3, Nottoway County, Virginia",511350003007,10,64,13,1,23,12,467,51,135,300,7
"Block Group 2, Census Tract 1101.04, Orange County, Virginia",511371101042,46,16,21,96,180,74,1580,51,137,110104,2
"Block Group 3, Census Tract 101.01, Radford city, Virginia",517500101013,465,139,122,109,129,7,599,51,750,10101,3
"Block Group 3, Census Tract 101.02, Radford city, Virginia",517500101023,74,302,32,120,187,14,964,51,750,10102,3
"Block Group 2, Census Tract 102.01, Radford city, Virginia",517500102012,167,513,145,0,121,0,1062,51,750,10201,2
"Block Group 3, Census Tract 102.02, Radford city, Virginia",517500102023,193,42,188,0,0,0,916,51,750,10202,3
"Block Group 1, Census Tract 102.02, Richmond city, Virginia",517600102021,64,0,0,115,79,0,864,51,760,10202,1
"Block Group 1, Census Tract 104.01, Richmond city, Virginia",517600104011,18,0,54,0,16,0,1428,51,760,10401,1
"Block Group 2, Census Tract 104.02, Richmond city, Virginia",517600104022,89,101,12,11,25,2,972,51,760,10402,2
"Block Group 2, Census Tract 105, Richmond city, Virginia",517600105002,11,3,0,29,0,0,649,51,760,10500,2
"Block Group 2, Census Tract 107, Richmond city, Virginia",517600107002,15,0,8,47,59,2,835,51,760,10700,2
"Block Group 2, Census Tract 108, Richmond city, Virginia",517600108002,134,471,12,124,22,12,967,51,760,10800,2
"Block Group 2, Census Tract 109, Richmond city, Virginia",517600109002,0,26,0,0,0,0,186,51,760,10900,2
"Block Group 4, Census Tract 109, Richmond city, Virginia",517600109004,133,59,148,23,13,39,823,51,760,10900,4
"Block Group 3, Census Tract 110, Richmond city, Virginia",517600110003,61,262,21,27,61,3,666,51,760,11000,3
"Block Group 2, Census Tract 205.01, Richmond city, Virginia",517600205012,172,63,48,0,83,11,1287,51,760,20501,2
"Block Group 3, Census Tract 205.02, Richmond city, Virginia",517600205023,21,35,45,20,39,16,312,51,760,20502,3
"Block Group 1, Census Tract 207, Richmond city, Virginia",517600207001,66,120,59,91,7,41,310,51,760,20700,1
"Block Group 2, Census Tract 208, Richmond city, Virginia",517600208002,49,28,11,0,0,11,830,51,760,20800,2
"Block Group 3, Census Tract 209, Richmond city, Virginia",517600209003,102,13,265,51,210,55,803,51,760,20900,3
"Block Group 1, Census Tract 210, Richmond city, Virginia",517600210001,504,135,19,72,4,31,1193,51,760,21000,1
"Block Group 1, Census Tract 212, Richmond city, Virginia",517600212001,238,213,79,119,52,208,956,51,760,21200,1
"Block Group 1, Census Tract 302, Richmond city, Virginia",517600302001,24,24,0,52,0,0,250,51,760,30200,1
"Block Group 4, Census Tract 302, Richmond city, Virginia",517600302004,67,84,30,94,158,0,138,51,760,30200,4
"Block Group 3, Census Tract 305.01, Richmond city, Virginia",517600305013,526,38,0,6,16,17,55,51,760,30501,3
"Block Group 1, Census Tract 402.01, Richmond city, Virginia",517600402011,419,154,108,61,12,10,391,51,760,40201,1
"Block Group 2, Census Tract 402.02, Richmond city, Virginia",517600402022,185,83,50,1,72,52,495,51,760,40202,2
"Block Group 1, Census Tract 404, Richmond city, Virginia",517600404001,235,140,62,10,118,0,849,51,760,40400,1
"Block Group 3, Census Tract 404, Richmond city, Virginia",517600404003,436,46,98,66,101,0,139,51,760,40400,3
"Block Group 3, Census Tract 405, Richmond city, Virginia",517600405003,25,0,38,0,26,54,501,51,760,40500,3
"Block Group 2, Census Tract 406, Richmond city, Virginia",517600406002,54,28,4,68,61,9,592,51,760,40600,2
"Block Group 1, Census Tract 416, Richmond city, Virginia",517600416001,12,15,36,8,30,85,1121,51,760,41600,1
"Block Group 3, Census Tract 501, Richmond city, Virginia",517600501003,0,8,22,0,9,24,969,51,760,50100,3
"Block Group 3, Census Tract 502, Richmond city, Virginia",517600502003,0,0,12,0,25,0,859,51,760,50200,3
"Block Group 2, Census Tract 504, Richmond city, Virginia",517600504002,9,0,10,0,10,5,1279,51,760,50400,2
"Block Group 3, Census Tract 505, Richmond city, Virginia",517600505003,0,0,0,0,0,0,0,51,760,50500,3
"Block Group 1, Census Tract 602, Richmond city, Virginia",517600602001,95,106,13,131,147,54,696,51,760,60200,1
"Block Group 3, Census Tract 602, Richmond city, Virginia",517600602003,63,29,32,25,26,0,299,51,760,60200,3
"Block Group 3, Census Tract 604, Richmond city, Virginia",517600604003,559,103,160,0,0,56,184,51,760,60400,3
"Block Group 1, Census Tract 605.01, Richmond city, Virginia",517600605011,184,160,0,0,0,0,307,51,760,60501,1
"Block Group 1, Census Tract 605.02, Richmond city, Virginia",517600605021,11,19,54,27,0,17,1331,51,760,60502,1
"Block Group 1, Census Tract 606, Richmond city, Virginia",517600606001,10,64,9,56,0,0,749,51,760,60600,1
"Block Group 1, Census Tract 607, Richmond city, Virginia",517600607001,206,151,0,93,41,0,213,51,760,60700,1
"Block Group 4, Census Tract 607, Richmond city, Virginia",517600607004,92,196,46,7,95,125,964,51,760,60700,4
"Block Group 3, Census Tract 1034.05, Arlington County, Virginia",510131034053,0,11,6,0,0,0,1048,51,13,103405,3
"Block Group 3, Census Tract 1035.01, Arlington County, Virginia",510131035013,103,31,27,11,34,0,1457,51,13,103501,3
"Block Group 3, Census Tract 1035.03, Arlington County, Virginia",510131035033,20,16,0,0,36,0,610,51,13,103503,3
"Block Group 1, Census Tract 1035.04, Arlington County, Virginia",510131035041,42,31,0,0,0,27,1071,51,13,103504,1
"Block Group 2, Census Tract 1035.05, Arlington County, Virginia",510131035052,24,260,46,0,0,0,442,51,13,103505,2
"Block Group 1, Census Tract 1036.01, Arlington County, Virginia",510131036011,10,16,0,0,0,0,967,51,13,103601,1
"Block Group 1, Census Tract 1036.02, Arlington County, Virginia",510131036021,23,39,0,6,7,4,546,51,13,103602,1
"Block Group 2, Census Tract 1037, Arlington County, Virginia",510131037002,37,26,0,8,0,5,1697,51,13,103700,2
"Block Group 3, Census Tract 1038, Arlington County, Virginia",510131038003,31,156,16,141,25,89,767,51,13,103800,3
"Block Group 1, Census Tract 9802, Arlington County, Virginia",510139802001,0,0,0,0,0,0,0,51,13,980200,1
"Block Group 3, Census Tract 701, Augusta County, Virginia",510150701003,10,10,68,6,26,38,606,51,15,70100,3
"Block Group 2, Census Tract 706.01, Augusta County, Virginia",510150706012,22,290,17,0,40,116,981,51,15,70601,2
"Block Group 1, Census Tract 706.03, Augusta County, Virginia",510150706031,17,146,0,37,0,45,2083,51,15,70603,1
"Block Group 2, Census Tract 707.01, Augusta County, Virginia",510150707012,0,133,26,20,20,41,1423,51,15,70701,2
"Block Group 2, Census Tract 707.02, Augusta County, Virginia",510150707022,0,29,11,0,11,22,1559,51,15,70702,2
"Block Group 1, Census Tract 708.02, Augusta County, Virginia",510150708021,138,51,13,0,39,28,1301,51,15,70802,1
"Block Group 4, Census Tract 708.02, Augusta County, Virginia",510150708024,0,59,16,0,210,42,516,51,15,70802,4
"Block Group 3, Census Tract 709, Augusta County, Virginia",510150709003,63,132,0,0,216,0,224,51,15,70900,3
